GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "06013","Contra Costa, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",44297311,43864476,46131347,50591063,60396509,64801182,65614473,78534982,62030122,60443614,59471228,61746098,62865096,68280818,69208294,67278334,73049286,78720034,80217242
 "06015","Del Norte, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",614489,633343,663388,707809,730163,893060,909941,909256,769263,769309,783142,762672,748225,758923,771151,791370,789635,801345,842938
 "06015","Del Norte, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",80.571,83.043,86.982,92.807,95.738,117.096,119.310,119.220,100.864,100.870,102.684,100.000,98.106,99.508,101.112,103.763,103.535,105.071,110.524
 "06015","Del Norte, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",456282,484094,519521,573267,608476,770107,821131,837563,721046,733989,765181,762672,769608,797883,828437,862996,878225,911762,983181
 "06017","El Dorado, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",5159775,5618349,5739344,6033917,6163090,6629653,6490189,6303548,5949761,6024959,6139584,5940344,6109504,6330707,6571463,7020316,7396877,7585133,7967457
 "06017","El Dorado, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",86.860,94.580,96.616,101.575,103.750,111.604,109.256,106.114,100.159,101.424,103.354,100.000,102.848,106.571,110.624,118.180,124.519,127.688,134.125
 "06017","El Dorado, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3997946,4455384,4650893,5045668,5342671,5967347,6022669,5938517,5738412,5833060,6018434,5940344,6248273,6630702,7069998,7690407,8240732,8646858,9302830
 "06019","Fresno, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",28318843,30838478,32987996,34023911,35515358,38282314,37213110,35972799,36015012,36160471,36474446,35315551,36701523,38238734,40049752,41503371,43124599,44264307,46009312
 "06019","Fresno, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",80.188,87.323,93.409,96.343,100.566,108.401,105.373,101.861,101.981,102.392,103.282,100.000,103.925,108.277,113.405,117.522,122.112,125.339,130.281
 "06019","Fresno, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",21328160,23585256,25983514,27958827,29586707,32694534,33437189,33025734,33118655,34079616,35720696,35315551,37604735,39655788,41530645,43135475,45781155,47838637,50736641
 "06021","Glenn, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",848930,860190,884688,906279,962484,959526,1148224,1174956,1274461,1154977,1095809,1043807,1137720,1037696,1075267,1159479,1116199,1256633,1310042
 "06021","Glenn, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",81.330,82.409,84.756,86.824,92.209,91.926,110.003,112.565,122.097,110.650,104.982,100.000,108.997,99.415,103.014,111.082,106.935,120.389,125.506
 "06021","Glenn, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",615048,621826,672339,735787,778233,792734,1028482,1090007,1057419,1025675,1072436,1043807,1168835,1057173,1073734,1140488,1133067,1291049,1367264
 "06023","Humboldt, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",4401403,4599946,4782576,4815190,4852815,5228753,5082642,5289415,5029461,5276054,5287152,5130410,5090935,5166092,5279126,5413636,5570454,5706172,5974402
 "06023","Humboldt, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",85.790,89.660,93.220,93.856,94.589,101.917,99.069,103.099,98.032,102.839,103.055,100.000,99.231,100.696,102.899,105.521,108.577,111.223,116.451
 "06023","Humboldt, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3362142,3584804,3821791,4001076,4140405,4599942,4625960,4902031,4731439,5029352,5165619,5130410,5227096,5420505,5642896,5866863,6151528,6440305,6906095
 "06025","Imperial, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",5099630,6154752,5765542,5601746,6119408,6734211,6572478,7484791,7130243,7015160,7311763,6921213,7300590,7799949,8533302,8598682,8609928,8493669,8980597
