GeoFIPS,year,bea_number_of_people,per_capita_personal_income,per_capita_retirement_and_other,per_capita_unemploy_ins_comp,per_capita_curr_dollar_real_gdp,per_capita_num_jobs,per_capita_farm_proprieter_jobs,per_capita_nonfarm_proprieter_jobs
 06001,2014,1607638.0,57951.0,6714.0,145.0,67.98561616483313,0.6033590895462785,0.00021584461178449378,0.1356319022068401
 06001,2015,1634326.0,62664.0,7248.0,120.0,73.33714142710818,0.6206240370648206,0.00021109619500638184,0.14054784663524902
 06001,2016,1650765.0,66377.0,7474.0,118.0,76.38906446405151,0.6310462119078124,0.00020414777391088374,0.14216014999106474
 06001,2017,1659824.0,70370.0,7257.0,118.0,80.41140626958038,0.6431808432701298,0.00019881626003720877,0.1445020676891044
 06001,2018,1666596.0,75354.0,7679.0,104.0,84.1767428938987,0.653242897498854,0.00019560829379165678,0.14748805349346814
 06001,2019,1668412.0,78839.0,8155.0,105.0,87.63467836481637,0.6511365298259663,0.00019659412663059245,0.14126966240952474
 06003,2014,1083.0,64425.0,11478.0,190.0,102.50046168051708,1.2031394275161589,0.0,0.16620498614958448
 06003,2015,1080.0,66603.0,13097.0,175.0,110.25185185185185,1.2342592592592592,0.0,0.1527777777777778
 06003,2016,1053.0,73076.0,13840.0,148.0,113.02089268755935,1.278252611585945,0.0,0.1557454890788224
 06003,2017,1116.0,70305.0,13180.0,149.0,104.43279569892474,1.1505376344086022,0.0,0.16666666666666666
 06003,2018,1081.0,76104.0,14671.0,134.0,109.38112858464385,1.179463459759482,0.0,0.1341350601295097
 06003,2019,1113.0,79701.0,15307.0,133.0,120.29559748427673,1.2650494159928123,0.0,0.1275831087151842
 06005,2014,36734.0,38617.0,9378.0,142.0,42.97272281809767,0.47027277181902327,0.010235748897479175,0.13407197691511952
 06005,2015,37039.0,40392.0,9956.0,117.0,44.963416938902235,0.47379788871189826,0.009989470558060423,0.1324279813169902
 06005,2016,37443.0,40934.0,10118.0,114.0,46.577491119835486,0.4689795155302727,0.009587906951900222,0.130838875090137
 06005,2017,38549.0,41769.0,10142.0,110.0,47.303198526550624,0.4667306544916859,0.009105294560170172,0.1273184777815248
 06005,2018,39349.0,42466.0,10458.0,96.0,48.32310859234034,0.4655264428575059,0.008793107829932145,0.127525477140461
 06005,2019,39693.0,43979.0,11197.0,100.0,52.09170382687124,0.45718388632756407,0.00879248230166528,0.12085254326959413
 06007,2014,223525.0,36796.0,8917.0,164.0,37.09988591880103,0.48066659210379153,0.00749356895201879,0.10627446594340678
 06007,2015,224643.0,39483.0,9700.0,144.0,39.0180018963422,0.4898616916618813,0.007331632857467181,0.10709436750755644
 06007,2016,226222.0,40878.0,9984.0,144.0,41.68271874530328,0.4972681702044894,0.007024073697518367,0.10653252115178895
 06007,2017,228700.0,41465.0,9819.0,149.0,44.02433318758199,0.5004503716659379,0.006821163095758636,0.10683865325754263
 06007,2018,230330.0,42441.0,10213.0,143.0,45.45346242347936,0.4969999565840316,0.006668692745191681,0.09867581296400817
 06007,2019,218726.0,45175.0,10744.0,157.0,51.72990408090487,0.5084717866188747,0.007072775984565164,0.09766100052120004
 06009,2014,44677.0,39996.0,9881.0,161.0,28.69219061261947,0.34982205609150124,0.012355350627839828,0.13971394677350762
 06009,2015,44972.0,42685.0,10709.0,133.0,30.660388686293693,0.3587787956950992,0.011940763141510272,0.14010940140531886
 06009,2016,45307.0,43874.0,10908.0,131.0,33.787185203169486,0.36700730571434875,0.011433111881166266,0.13759463217604342
 06009,2017,45658.0,45449.0,10864.0,126.0,35.00229970651365,0.3670331595777301,0.011104297165885497,0.13384291909413465
 06009,2018,45747.0,46818.0,11444.0,123.0,34.95024810370079,0.3723960041095591,0.010907819091962314,0.13279559315364942
 06009,2019,46119.0,48460.0,12079.0,124.0,40.74515926190941,0.37091003707799386,0.010906567792016306,0.12985971074828162
 06011,2014,21156.0,35342.0,6341.0,551.0,56.18283229343921,0.5407922102476839,0.030724144450746834,0.08394781622234827
 06011,2015,21208.0,39940.0,6782.0,521.0,68.94695397963032,0.5550264051301396,0.03093172387778197,0.08671256129762354
 06011,2016,21476.0,41738.0,6795.0,621.0,67.29055690072639,0.5442354255913578,0.029474762525609984,0.08395418141180853
 06011,2017,21558.0,41890.0,6645.0,647.0,63.76250115966231,0.5354392800816402,0.02913071713517024,0.07946006123016977
 06011,2018,21389.0,46623.0,7072.0,643.0,77.41684978259853,0.5577165832904765,0.028893356398148582,0.0821917808219178
 06011,2019,21474.0,44661.0,7571.0,671.0,78.15511781689484,0.5705038651392381,0.029011828257427586,0.0797243177796405
 06013,2014,1108665.0,63390.0,6722.0,148.0,61.58832289284861,0.4707490540424745,0.00044287498928891956,0.13988625960051052
 06013,2015,1124148.0,68323.0,7200.0,119.0,61.565108864669064,0.47954539793692647,0.0004269900404573063,0.1463294868647189
 06013,2016,1137259.0,71621.0,7439.0,114.0,59.158321895012485,0.4889334795328065,0.00040623991544582193,0.14851058553944177
 06013,2017,1145623.0,75929.0,7400.0,114.0,63.76380886207767,0.4946644751371088,0.0003954180389185622,0.1499830223380641
 06013,2018,1150840.0,79641.0,7813.0,102.0,68.40224010288138,0.49981404886865244,0.00038667408154044003,0.154361162281464
 06013,2019,1152883.0,84614.0,8319.0,102.0,69.57969022008304,0.4948290503025892,0.0003885910365579161,0.14892491258870155
 06015,2014,27182.0,31527.0,9593.0,164.0,29.353358840409093,0.3863218306232065,0.00353174895151203,0.08049444485321168
 06015,2015,27198.0,33225.0,10485.0,150.0,30.459482314876094,0.39083756158541066,0.003456136480623575,0.07938083682623723
