county,year,registered_pct,democrat_pct,republican_pct,american_independent_pct,green_pct,liberterian_pct,peace_and_freedom_pct,no_party_pct,other_party_pct
 Alameda,2014,78.52318241100161,55.470516910746696,13.380564588352218,2.0419921647057957,1.2373327567631316,0.5171932988455902,0.3606839727816277,21.249642202973185,5.742074104831764
 Alpine,2014,87.01594533029613,36.64921465968586,29.84293193717277,3.926701570680628,1.7015706806282722,0.7853403141361256,0.13089005235602094,26.04712041884817,0.9162303664921465
 Amador,2014,78.20855112247584,31.09433599384556,44.16290027887297,4.370612558899895,0.5721704010000962,1.0770266371766515,0.23559957688239255,18.203673430137513,0.2836811231849216
 Butte,2014,70.024791122871,33.0144762261389,36.155672621124566,3.5445903508846586,1.2306068781222608,1.0595474158106601,0.427223134728475,23.10068679097555,1.4671965822149222
 Calaveras,2014,76.305922814535,30.220186197724253,41.909265553421015,4.706664696320378,0.8866558297620807,1.363233338259199,0.36574552977685826,19.66898182355549,0.8792670311807299
 Colusa,2014,61.76805465191932,33.46938775510204,43.98946675444371,2.6596445029624753,0.2764976958525346,0.4739960500329164,0.17116524028966426,18.933508887425937,0.026333113890717574
 Contra Costa,2014,73.40086407814272,49.071411375092175,23.910706872333044,2.6594201936984496,0.634477110863833,0.5992178510428969,0.22255038188053175,22.6408048210403,0.26141139404876773
 Del Norte,2014,69.85153125513615,32.57254901960784,35.67058823529411,4.650980392156863,0.7607843137254903,0.9254901960784314,0.4313725490196078,23.599999999999998,1.388235294117647
 El Dorado,2014,78.79549323174191,28.56047357641844,42.925811972206375,4.138182566327819,0.7930347607335572,1.1381171035527584,0.2833602977621083,21.273531529678017,0.8874881933209267
 Fresno,2014,72.79724497198647,39.96969500495878,36.780706620272646,2.6349977067139254,0.36356388662762074,0.5201316898516688,0.2660692116138731,18.263202003683666,1.2016338762778167
 Glenn,2014,65.88918090232151,29.55791922885159,43.76765830147914,3.7975735416320426,0.3074621904603623,0.7229516370284195,0.349011135117168,21.322918397872694,0.174505567558584
 Humboldt,2014,72.60500348658383,40.952268182296606,24.969740027365543,3.308862225028944,3.6996105673087047,1.0604146931901905,0.4802126091990317,25.180244184822648,0.34864751078833806
 Imperial,2014,62.16460498796624,49.155522494040476,22.091666807553807,2.4379110382254985,0.23669039206072798,0.4158988317638506,0.4311146426820403,24.59044108945206,0.6407547042215421
 Inyo,2014,69.50541410594089,30.473684210526315,42.305263157894736,4.2631578947368425,0.8421052631578947,0.8421052631578947,0.27368421052631575,20.45263157894737,0.5473684210526315
 Kern,2014,66.72129238011463,36.078837424900975,38.99791709308065,3.2905113355888123,0.24410946699254726,0.6715267828118039,0.29257016265937846,20.305031484402278,0.11949624956355273
 Kings,2014,62.30517929315755,35.856251683902926,44.53586454166753,2.530517502227933,0.18652463161385255,0.5201964726119666,0.17616215207974964,15.889826117593417,0.3046568983026258
 Lake,2014,68.25157437789146,38.86947953059213,26.447490220669472,4.165546895995701,1.4303204037146526,1.1376870017020515,0.5255457015736511,27.179073725700974,0.24485652005136016
 Lassen,2014,75.0844299522534,23.575029081039162,48.09616130283055,5.319891430787127,0.2869329197363319,0.7832493214424194,0.31019775106630476,21.00814269096549,0.6203955021326095
 Los Angeles,2014,80.34215723584065,50.50498018034204,20.626205232226365,2.2737225942059016,0.5118912843526277,0.5716514067720653,0.7350678809248425,23.850495568012104,0.9259858531640504
 Madera,2014,61.0565739276077,33.05901626852592,43.00872480664457,3.150836286051739,0.3924258010439288,0.5848287423324571,0.28193698327427896,19.190764658818154,0.3314664533089496
 Marin,2014,84.20433863510473,54.23423907206531,17.611561593813768,2.2144506497690903,1.3854580603587154,0.5933841692621631,0.1852647406293631,23.42457845559016,0.35106325851143805
 Mariposa,2014,68.67887508175278,29.20674221502714,43.833920578992476,4.542424530997049,1.0570421864584325,1.0284734787163126,0.2761641748404914,18.28397295495667,1.7712598800114276
 Mendocino,2014,73.75628842929011,45.51387310008,21.12753147235906,3.5619552860932173,3.770367563471012,0.9683802787251063,0.591554039829902,24.076880973432697,0.38945728600901014
 Merced,2014,63.10375375176845,42.37836818505637,32.81439886016008,3.1314168377823406,0.5175376105267568,0.5856346645434355,0.3551523278716004,19.9828185894481,0.23467292461132297
 Modoc,2014,74.92068070377849,24.427333974975937,49.528392685274305,5.178055822906641,0.5004812319538018,0.8469682386910491,0.21174205967276227,19.17228103946102,0.1347449470644851
 Mono,2014,60.32174364296834,32.82863041982106,34.6180316586373,4.335856847900894,0.9979353062629044,0.7226428079834825,0.3097040605643496,26.169993117687547,0.017205781142463867
 Monterey,2014,70.27651625980062,50.314063150527055,23.914656883745348,2.38700062148904,0.6540719599833466,0.5539096487681846,0.2793683740519275,21.75030621911411,0.14662314232099005
 Napa,2014,77.01543739279589,45.8059665498702,26.009674719475694,3.1322258947696935,1.1164229072390166,0.7390804760756388,0.27946037195182505,22.2802264054587,0.6369426751592357
 Nevada,2014,80.39775318971472,32.46717458259037,35.96531042308316,3.8579996757983466,2.2305073755876155,1.1752309936780678,0.3112335872912952,23.76560220457124,0.22694115739990273
 Orange,2014,72.52543224763679,31.934060563847055,40.71798098041308,2.667502682177423,0.3958669190628388,0.8467114538805911,0.25241957680576543,22.82870014098985,0.356757682823392
 Placer,2014,77.20683690882966,27.49947610541757,46.12617377333826,2.3934498208779473,0.5263893185378851,1.3631238087635091,0.23400624681921148,21.508616818512937,0.348764107732684
 Plumas,2014,77.33185175501667,30.14115459386358,42.397092384413824,5.122136759361,0.7015467838728764,0.9635702814639506,0.36345194827149013,20.260333023413068,0.05071422534020793
