state,county,area_land,area_water,longitude,latitude
28,115,1289201714,8437676,-89.0363680745501,34.2260460037279
01,075,1566544637,1600679,-88.09668032151744,33.779950237176415
12,061,1302203812,295578903,-80.60556721157823,27.693089607682086
12,073,1727086019,90548394,-84.27491122059152,30.459557823440157
26,149,1296536370,52915576,-85.52797979437844,41.914417670211265
26,031,1852551605,440619495,-84.50122149467386,45.44787014653905
31,165,5352724893,1681023,-103.75765439638678,42.489320585149784
39,051,1050100890,4588525,-84.12571392566193,41.60213491434293
37,007,1376478137,14603213,-80.09953279085966,34.974032412046554
37,185,1111412939,39320084,-78.10652227680853,36.39728255583058
01,073,2878465205,32885044,-86.896429313041,33.55537844384208
08,047,388228994,942056,-105.52525971853858,39.85646522894724
13,089,693405943,8955544,-84.2239855015158,33.76947313622133
17,093,829468028,5136619,-88.42869575110699,41.59081020181878
19,019,1479085972,5223780,-91.83510825268893,42.47091879897527
26,079,1449729125,28020185,-85.09007592529105,44.68305973572243
27,097,2913980720,73275534,-94.27341528245596,46.0126536334828
01,079,1788864247,68682382,-87.31070408750672,34.52039902429629
05,059,1593380758,18038344,-92.94845849426402,34.31762093152859
35,011,6016819484,29089486,-104.41178415041162,34.34274528677372
17,009,791704469,4139310,-90.75068540109154,39.96206686483373
20,155,3251786677,42963060,-98.08485373502457,37.95108049765216
31,151,1486812299,5821039,-97.1408505138114,40.524184350639494
29,027,2161515126,33192502,-91.9218650458198,38.83674753683062
36,099,838403627,172828921,-76.82475696074468,42.78089246618742
28,019,1083122609,4297812,-89.24809381624277,33.345982417131424
40,011,2404605814,26851760,-98.43306375746675,35.87519417086447
48,375,2352718728,35190087,-101.89396404427637,35.40133773307165
48,455,1796924651,52256860,-95.13671870399152,31.087948902832093
55,107,2366092053,44813690,-91.13330120068953,45.47498853933502
72,145,118777649,57795019,-66.39840453461632,18.42639814309562
53,069,680956809,61588406,-123.42508311247944,46.29180039919327
48,103,2033319700,1695980,-102.51433137479486,31.43052247685433
47,117,972442320,1801922,-86.76420987960458,35.45798776639686
48,381,2361876733,27235708,-101.8971321816787,34.96585995843893
48,285,2511535251,1882216,-96.93186692210142,29.385084023524026
29,097,1653724865,7162363,-94.34050457966987,37.20351921276264
17,187,1404747944,1674135,-90.61474290545506,40.84925012792323
18,107,1307030239,2067987,-86.89335023525409,40.04034822765975
28,081,1165367704,8349355,-88.68149953754505,34.29187749739446
